Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL,Date
Alimentació,Productes internacionals,0,0,0,YANG TSE Pals de bambú,"1,00 €",8 per paquet,"(0,13 € per article)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/84885/details,02/11/2020
,,,,,PRODUCTE NO OBTINGUT,,,,,,,
Alimentació,Productes internacionals,0,0,0,BLUE DRAGON Tempura,"2,79 €",0.15kg,"(18,60 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/03156/details,02/11/2020
Alimentació,Productes internacionals,0,0,0,GO-TAN Salsa Sambal Oelek de xili,"1,69 €",0.1kg,"(16,90 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/61376/details,02/11/2020
Alimentació,Productes internacionals,0,0,0,YANG-TSE Suc de coco,"1,59 €",0.4L,"(3,98 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/77534/details,02/11/2020
Alimentació,Productes internacionals,0,0,0,UDON Tallarines japonès Noodles,"1,95 €",0.3kg,"(6,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/77502/details,02/11/2020
Congelats,Gel i glaçons,0,0,0,FERRER Glaçons,"0,79 €",2kg,"(0,40 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/03762/details,02/11/2020
Congelats,Gel i glaçons,0,0,0,FERRER Gel per còctels i mojitos,"1,35 €",2kg,"(0,68 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/60290/details,02/11/2020
Nadal,Formatges,0,0,0,CASTELLO Formatge amb pinya,"1,59 €",0.125kg,"(12,72 € per quilo)",SI,"Abans 1,73€",https://www.compraonline.bonpreuesclat.cat/products/60435/details,02/11/2020
Nadal,Formatges,0,0,0,EMMI ROSETTES Formatge Tete de Moine,"4,69 €",0.1kg,"(46,90 € per quilo)",SI,"Abans 4,79€",https://www.compraonline.bonpreuesclat.cat/products/32283/details,02/11/2020
Nadal,Formatges,0,0,0,GARCíA BAQUERO Formatge semicurat de mescla,"5,99 €",0.465kg,"(12,88 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/03459/details,02/11/2020
Nadal,Formatges,0,0,0,FLEUR DES MONTS Formatge de cabra amb mel,"1,63 €",0.1kg,"(16,30 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/84399/details,02/11/2020
Nadal,Formatges,0,0,0,EL PASTOR Formatge de cabra amb pinya,"1,55 €",0.1kg,"(15,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/14561/details,02/11/2020
Nadal,Formatges,0,0,0,FORVAL Assortit de formatges,"5,95 €",0.38kg,"(15,66 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/68153/details,02/11/2020
Nadal,Formatges,0,0,0,ZANETTI Formatge Grana Padano ratllat en escates,"1,99 €",0.1kg,"(19,90 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/05978/details,02/11/2020
Nadal,Formatges,0,0,0,EL PASTOR Formatge de cabra amb papaia,"1,55 €",0.1kg,"(15,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/14593/details,02/11/2020
Nadal,Formatges,0,0,0,ZANETTI Formatge parmigiano reggiano escates,"2,89 €",0.1kg,"(28,90 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/79792/details,02/11/2020
Nadal,Formatges,0,0,0,OLD AMSTERDAM Formatge de vaca a daus,"3,19 €",0.15kg,"(21,27 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/20922/details,02/11/2020
Nadal,Formatges,0,0,0,"MOLÍ ALZINA Trio formatge de cabra, ovella i vaca","8,95 €",0.45kg,"(19,89 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50315/details,02/11/2020
Nadal,Formatges,0,0,0,EL PASTOR Taula formatges selecció,"2,99 €",0.18kg,"(16,61 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/11358/details,02/11/2020
Nadal,Formatges,0,0,0,PAPILLON Formatge d'ovella Ron Du Val,"3,39 €",0.15kg,"(22,60 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/06532/details,02/11/2020
Congelats,Fleca,0,0,0, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50760/details,02/11/2020
Congelats,Fleca,0,0,0, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50709/details,02/11/2020
Congelats,Fleca,0,0,0, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50802/details,02/11/2020
Congelats,Fleca,0,0,0,MAHESO Baguetines congelades,"1,99 €",4 per paquet,"(0,50 € per article)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/88176/details,02/11/2020
Congelats,Fleca,0,0,0,MAHESO Porres,"2,45 €",0.32kg,"(7,66 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/72206/details,02/11/2020
Congelats,Fleca,0,0,0,MAHESO Xurros llaç,"1,35 €",0.4kg,"(3,38 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/58993/details,02/11/2020
Congelats,Fleca,0,0,0, Barreta de pa,"1,00 €",0.24kg,"(4,17 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50802/details,02/11/2020
Congelats,Fleca,0,0,0, Pa rodó tallat de 450 grams,"1,95 €",0.45kg,"(4,33 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50709/details,02/11/2020
Congelats,Fleca,0,0,0, Pa rodó tallat de 850 grams,"2,95 €",0.85kg,"(3,47 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/50760/details,02/11/2020
Congelats,Fleca,0,0,0,HORNO TERESA Trena de panses,"5,95 €",0.35kg,"(17,00 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/52244/details,02/11/2020
Nadal,Avança't al Nadal,0,0,0,PARXET Cava Brut Nature Vintage,"11,65 €",0.75L,"(15,53 € per litre)",SI,"Lot estalvi a 23,95 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/27887/details,02/11/2020
Nadal,Avança't al Nadal,0,0,0,MONTBRÚ Formatge de cabra semicurat km0,"23,95 €",1kg,"(23,95 € per quilo)",SI,"Lot estalvi a 23,95 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/76756/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola,"7,68 €",12 x 0.33L,"(1,94 € per litre)",SI,"Abans 8,28€",https://www.compraonline.bonpreuesclat.cat/products/72156/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola Zero,"6,96 €",12 x 0.33L,"(1,76 € per litre)",SI,"Abans 7,56€",https://www.compraonline.bonpreuesclat.cat/products/72158/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola,"1,46 €",1.25L,"(1,17 € per litre)",SI,"Lot estalvi a 7,99 euros/lot. Clica aquí",https://www.compraonline.bonpreuesclat.cat/products/26663/details,02/11/2020
Nadal,Refrescs,0,0,0,TRINA Refresc de taronja sense gas,"1,15 €",1.5L,"(0,77 € per litre)",SI,"Abans 1,39€",https://www.compraonline.bonpreuesclat.cat/products/02429/details,02/11/2020
Nadal,Refrescs,0,0,0,FANTA Refresc de taronja,"2,00 €",2 x 2L,"(0,50 € per litre)",SI,"Abans 2,54€",https://www.compraonline.bonpreuesclat.cat/products/85371/details,02/11/2020
Nadal,Refrescs,0,0,0,FANTA Refresc de llimona amb gas,"2,00 €",2 x 2L,"(0,50 € per litre)",SI,"Abans 2,60€",https://www.compraonline.bonpreuesclat.cat/products/85372/details,02/11/2020
Nadal,Refrescs,0,0,0,LIMON & NADA Refresc de llimona sense gas,"1,17 €",1L,"(1,17 € per litre)",SI,"Abans 1,37€",https://www.compraonline.bonpreuesclat.cat/products/35550/details,02/11/2020
Nadal,Refrescs,0,0,0,SCHUSS Gasosa,"0,45 €",1L,"(0,45 € per litre)",SI,3 unitats a 1.00 EUR,https://www.compraonline.bonpreuesclat.cat/products/68358/details,02/11/2020
Nadal,Refrescs,0,0,0,TRINA Refresc de llimona sense gas,"1,15 €",1.5L,"(0,77 € per litre)",SI,"Abans 1,39€",https://www.compraonline.bonpreuesclat.cat/products/02430/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA COLA Refresc de cola zero sense cafeïna,"1,00 €",1.25L,"(0,80 € per litre)",SI,"Abans 1,25€",https://www.compraonline.bonpreuesclat.cat/products/32507/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA COLA Refresc de cola zero sense cafeïna,"6,96 €",12 x 0.33L,"(1,76 € per litre)",SI,"Abans 7,56€",https://www.compraonline.bonpreuesclat.cat/products/37737/details,02/11/2020
Nadal,Refrescs,0,0,0,PEPSI MAX Refresc de cola,"0,98 €",1.25L,"(0,78 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/54970/details,02/11/2020
Nadal,Refrescs,0,0,0,LIPTON Refresc de te verd amb gust de préssec,"1,00 €",1L,"(1,00 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57396/details,02/11/2020
Nadal,Refrescs,0,0,0,LIPTON Refresc te menta/llima,"1,00 €",1L,"(1,00 € per litre)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/57448/details,02/11/2020
Nadal,Refrescs,0,0,0,BONPREU Gasosa,"0,25 €",1.5L,"(0,17 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/01184/details,02/11/2020
Nadal,Refrescs,0,0,0,SCHWEPPES Refresc tònica,"1,55 €",1L,"(1,55 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/83040/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola zero,"1,25 €",1.25L,"(1,00 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/26731/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola,"14,88 €",24 x 0.33L,"(1,88 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/81602/details,02/11/2020
Nadal,Refrescs,0,0,0,TRINA Refresc de taronja Zero sucres,"1,39 €",1.5L,"(0,93 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/34784/details,02/11/2020
Nadal,Refrescs,0,0,0,SCHWEPPES Refresc de llimona,"1,52 €",1L,"(1,52 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27608/details,02/11/2020
Nadal,Refrescs,0,0,0,PEPSI MAX Refresc de cola Max,"1,25 €",2L,"(0,63 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/02116/details,02/11/2020
Nadal,Refrescs,0,0,0,NESTEA Refresc de te a la llimona sense sucre,"1,49 €",1.5L,"(0,99 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/26626/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola,"1,92 €",2L,"(0,96 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/07492/details,02/11/2020
Nadal,Refrescs,0,0,0,LA CASERA Gasosa,"0,85 €",1.5L,"(0,57 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/23676/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA COLA Refresc de cola Zero sense cafeïna,"3,04 €",2 x 2L,"(0,76 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/02900/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola,"7,28 €",4 x 2L,"(0,91 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/24564/details,02/11/2020
Nadal,Refrescs,0,0,0,KAS Refresc tònica,"3,99 €",6 x 0.2L,"(3,32 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/01453/details,02/11/2020
Nadal,Refrescs,0,0,0,FANTA Refresc de llimona amb gas,"1,35 €",2L,"(0,68 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/01438/details,02/11/2020
Nadal,Refrescs,0,0,0,FANTA Refresc de taronja zero,"1,32 €",2L,"(0,66 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/02948/details,02/11/2020
Nadal,Refrescs,0,0,0,COCA-COLA Refresc de cola sense cafeïna,"1,92 €",2L,"(0,96 € per litre)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/09384/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT LINDOR Bombons de xocolata amb llet,"4,99 €",0.2kg,"(24,95 € per quilo)",SI,"Abans 5,49€",https://www.compraonline.bonpreuesclat.cat/products/80414/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Assortit de bombons Prestige,"8,99 €",0.246kg,"(36,54 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/69881/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Assortit de bombons Collection,"6,93 €",0.172kg,"(40,29 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/33021/details,02/11/2020
Nadal,Bombons,0,0,0,NESTLÉ Bombons Caja-Roja Dark,"4,99 €",0.114kg,"(43,77 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/19828/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Assortit de bombons Golden Gallery,"7,99 €",0.216kg,"(36,99 € per quilo)",SI,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/34765/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Bombons de xocolata i avellana,"4,99 €",0.2kg,"(24,95 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27498/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Bombons de xocolata i avellana,"8,69 €",0.375kg,"(23,17 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27511/details,02/11/2020
Nadal,Bombons,0,0,0,CAJA ROJA Bombons,"4,95 €",0.2kg,"(24,75 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/03078/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT Assortit de bombons,"5,49 €",0.2kg,"(27,45 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/02086/details,02/11/2020
Nadal,Bombons,0,0,0,MALTESERS Boles de xocolata,"2,75 €",0.175kg,"(15,71 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/23961/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT SENSATION Bombons de xocolata negra amb gerds,"3,89 €",0.15kg,"(25,93 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/06402/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT LINDOR Bombons de xocolata extra negra,"5,49 €",0.2kg,"(27,45 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/80415/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Bombons de xocolata i avellana,"8,39 €",0.3kg,"(27,97 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/15976/details,02/11/2020
Nadal,Bombons,0,0,0,NESTLÉ Assortit bombons Caja Roja,"8,95 €",0.4kg,"(22,38 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/29547/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT Assortit de bombons gran,"13,99 €",0.469kg,"(29,83 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/21735/details,02/11/2020
Nadal,Bombons,0,0,0,NESTLÉ AFTER EIGHT Làmines de xocolata amb menta,"4,30 €",0.3kg,"(14,33 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/32137/details,02/11/2020
Nadal,Bombons,0,0,0,FERRERO Bombons de coco i ametlla,"3,29 €",0.15kg,"(21,93 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/62036/details,02/11/2020
Nadal,Bombons,0,0,0,LINDT Assortiment de bombons,"9,99 €",0.375kg,"(26,64 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/67356/details,02/11/2020
Nadal,Bombons,0,0,0,LACASA Trufes de cacau pur,"2,35 €",0.2kg,"(11,75 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/58401/details,02/11/2020
Nadal,Bombons,0,0,0,VALOR Bombons sense sucre,"4,59 €",0.2kg,"(22,95 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/42088/details,02/11/2020
Nadal,Bombons,0,0,0,NESTLÉ Bombons de xocolata,"4,95 €",0.15kg,"(33,00 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/30127/details,02/11/2020
Nadal,Bombons,0,0,0,NESTLÉ Assortit de bombons Caja Roja,"19,89 €",0.8kg,"(24,86 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/35307/details,02/11/2020
Nadal,Bombons,0,0,0,PICO Confits,"1,25 €",0.1kg,"(12,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/29756/details,02/11/2020
Nadal,Bombons,0,0,0,ANTIU XIXONA Ametlles farcides,"2,89 €",0.15kg,"(19,27 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/00241/details,02/11/2020
Nadal,Bombons,0,0,0,LACASA Taronja recoberta de xocolata negra,"2,99 €",0.125kg,"(23,92 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/45654/details,02/11/2020
Nadal,Bombons,0,0,0,LACASITOS Pastilles xocolata de colors Lacasitos,"3,35 €",0.225kg,"(14,89 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/80076/details,02/11/2020
Nadal,Bombons,0,0,0,LACASA Boletes de cacauet i xocolata Conguitos,"3,10 €",0.2kg,"(15,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/69602/details,02/11/2020
Nadal,Bombons,0,0,0,VICENS Trufes,"3,89 €",0.12kg,"(32,42 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/68871/details,02/11/2020
Nadal,Bombons,0,0,0,PICO Pinyons,"2,25 €",0.1kg,"(22,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27829/details,02/11/2020
Nadal,Bombons,0,0,0,LACASA Festuc cobert de xocolata amb llet,"2,99 €",0.1kg,"(29,90 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/00198/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,GIULIETTA Panettone,"2,95 €",0.5kg,"(5,90 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/31585/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Mantegades artesania,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/58396/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,BAULI Pandoro,"6,10 €",0.5kg,"(12,20 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/36690/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Mantegades Vimet,"5,25 €",0.8kg,"(6,56 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/07499/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,BAULI Panettone,"6,10 €",0.5kg,"(12,20 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/66392/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Assortit de mantegades,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/58398/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,GIULIETTA Panettone,"4,30 €",0.9kg,"(4,78 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/31223/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,BAULI Panettone amb xocolata,"7,40 €",0.5kg,"(14,80 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/47451/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Rosca de vi,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27983/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,DALCOLLE Panettone farcit de xocolata,"6,25 €",0.75kg,"(8,33 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/43493/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Polvorons d'ametlles,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/58397/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,GIULIETTA Pandoro,"3,25 €",0.5kg,"(6,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/16624/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,ARTESANIA Figuretes de massapà,"1,25 €",0.1kg,"(12,50 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/27144/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,LA FORTALEZA Assortit de mantegades,"1,99 €",0.3kg,"(6,63 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/22913/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,DALCOLLE Pandoro,"5,49 €",0.75kg,"(7,32 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/31225/details,02/11/2020
Nadal,Mantegades i panettones,0,0,0,BAULI Pandoro de xocolata,"10,95 €",0.75kg,"(14,60 € per quilo)",NO,NULL,https://www.compraonline.bonpreuesclat.cat/products/09523/details,02/11/2020
